keyword,page,text,exhibit,provider,exhibit_page
disability,83,"privacy act system of records notice (sorn) 60-0320, entitled electronic disability claim file, as published in the federal register (fr)",9B-6,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 6 of 14)
device,84,"appear at a hearing using a computer, tablet, or mobile device with an internet connection. please let us know whether",9B-7,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 7 of 14)
unable,85,"office’s designated fax number, visit https://www.ssa.gov/appeals/ho_locator.html. if the claimant is unable to sign the form, you may sign for the",9B-8,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 8 of 14)
disability,89,"privacy act system of records notice (sorn) 60-0320, entitled electronic disability claim file, as published in the federal register (fr)",9B-12,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 12 of 14)
device,90,"android/apple tablet or phone with a secure internet connection. your device must have a camera, microphone, and speakers. before the",9B-13,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 13 of 14)
device,91,"your hearing office’s phone number, visit www. ssa.gov/appeals/ho_locator.html e mobile device (apple/android): on a _ mobile device (tablet or cell",9B-14,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 14 of 14)
unable,91,"to reconnect as quickly as possible. if the alj is unable to continue the hearing, he or she may reschedule",9B-14,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 14 of 14)
disability,96,"you have been disabled, i will also consider whether your disability continues through the date of the decision or whether",11B-3,11B: Hearing Notice - 507 Doc. Dt.: 04/08/2021 (25 pages),(page 3 of 25)
disabled,96,"security act (the act). i will consider whether you are disabled under section 1614(a)(3) of the act. under the act,",11B-3,11B: Hearing Notice - 507 Doc. Dt.: 04/08/2021 (25 pages),(page 3 of 25)
disability,98,clinton c. hicks administrative law judge enclosures: form ha-l32 (electronic disability claims processing insert) form ha-504-op1 (acknowledgement of receipt of,11B-5,11B: Hearing Notice - 507 Doc. Dt.: 04/08/2021 (25 pages),(page 5 of 25)
